distance_m,elevation_m,source,description
15546.814,223.146,lutning_end,"Lutning -9.996‰ 720+622->720+673 längd 51.315 m"
15598.125,223.659,lutning_start,"Lutning -9.996‰ 720+622->720+673 längd 51.315 m"
15729.146,224.094,lutning_end,"Lutning 3.6‰ 719+857->720+486 längd 627.757 m"
16361.740,221.834,lutning_start,"Lutning 3.6‰ 719+857->720+486 längd 627.757 m"
16559.045,222.514,lutning_end,"Lutning -10.497‰ 719+551->719+660 längd 108.969 m"
16668.001,223.658,lutning_start,"Lutning -10.497‰ 719+551->719+660 längd 108.969 m"
16913.919,223.720,lutning_end,"Lutning 9.998‰ 719+243->719+305 längd 62.191 m"
16969.571,223.098,lutning_start,"Lutning 9.998‰ 719+243->719+305 längd 62.191 m"
17005.150,222.765,lutning_end,"Lutning 12.902‰ 718+975->719+214 längd 237.902 m"
17243.018,219.696,lutning_start,"Lutning 12.902‰ 718+975->719+214 längd 237.902 m"
17301.017,219.032,lutning_end,"Lutning 10.001‰ 718+735->718+917 längd 181.749 m"
17482.741,217.214,lutning_start,"Lutning 10.001‰ 718+735->718+917 längd 181.749 m"
17632.879,216.417,lutning_end,"Lutning 0.615‰ 718+439->718+585 längd 146.528 m"
17779.482,216.327,lutning_start,"Lutning 0.615‰ 718+439->718+585 längd 146.528 m"
17802.838,216.323,lutning_end,"Lutning -0.323‰ 718+169->718+415 längd 246.676 m"
18049.442,216.403,lutning_start,"Lutning -0.323‰ 718+169->718+415 längd 246.676 m"
18069.920,216.400,lutning_end,"Lutning 0.608‰ 717+971->718+148 längd 177.21 m"
18247.130,216.292,lutning_start,"Lutning 0.608‰ 717+971->718+148 längd 177.21 m"
18276.129,216.299,lutning_end,"Lutning -1.098‰ 717+859->717+942 längd 83.087 m"
18410.670,216.400,lutning_end,"Lutning 0.479‰ 717+705->717+827 längd 121.582 m"
18410.670,216.390,lutning_start,"Lutning -1.098‰ 717+859->717+942 längd 83.087 m"
18512.301,216.342,lutning_start,"Lutning 0.479‰ 717+705->717+827 längd 121.582 m"
18697.001,215.441,lutning_end,"Lutning 9.275‰ 717+317->717+521 längd 203.398 m"
18900.358,213.555,lutning_start,"Lutning 9.275‰ 717+317->717+521 längd 203.398 m"
19006.221,212.199,lutning_end,"Lutning 16.335‰ 717+61->717+211 längd 150.328 m"
19156.537,209.743,lutning_start,"Lutning 16.335‰ 717+61->717+211 längd 150.328 m"
19185.466,209.249,lutning_end,"Lutning 17.783‰ 717+10->717+32 längd 22.608 m"
